Site,Plant,Year,Treatment,Obs,Rep,FTime,EBal?,A,gs,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,
S11,119,2010,D,3,1,320.4999998,0,8.805719741,0.328300762,234.7255636,3.842918017,1.2823438,27.06012344,6,1.420000017,1,2.840000033,27.08629227,27.06012344,26.98405075,299.1638489,287.2606812,18.32163811,22.83224487,51.67929077,64.19684601,499.5126953,1199.665283,0.260357708,101.1496735,16.39405632,0.728870332,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832521159,0.003842918,300.2101234,300.2362923,191.946441,0.269103742,3.591817913,35.50993088,12.677686,27.07320786,3.59457784,0.294282089,2.309474113,1.285103726,0.186707394,23.74241411,0.817116922,67.03603826,283.0748637,0.020853161,
S11,119,2010,D,4,1,410.4999998,0,8.914162929,0.334583828,235.5218129,3.874434563,1.270869211,27.10470581,6,1.420000017,1,2.840000033,27.10518074,27.10470581,26.98133087,299.8337097,287.7869263,18.49265862,23.03930664,52.10343552,64.70532227,499.511322,1199.402832,0.233261317,101.1471481,16.40427971,0.728101671,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83251887,0.003874435,300.2547058,300.2551807,191.9044488,0.248633228,3.601229373,35.60386466,12.56455802,27.10494328,3.60127956,0.299320517,2.330360162,1.270919398,0.189953202,23.8223597,0.818389549,67.4758284,283.5495601,0.021212889,
S11,119,2010,D,5,1,498.9999998,0,5.249867349,0.338416685,160.6706952,3.868125168,1.255757499,27.13226891,6,1.420000017,1,2.840000033,27.11535645,27.13226891,26.98156929,198.7695618,191.5736237,18.7084446,23.24661636,52.73337555,65.24760437,499.5233154,1199.584229,0.270594418,101.1459579,14.83497429,0.72920984,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832538859,0.003868125,300.2822689,300.2653564,191.9334723,0.249857198,3.60705878,35.66191722,12.41530086,27.12381268,3.605269469,0.302384326,2.351301281,1.253968188,0.191927762,16.25119138,0.838689023,67.94881693,189.0780882,0.0188664,
S11,119,2010,D,6,1,589.4999998,0,5.303725493,0.352299889,162.6210651,3.956618244,1.239112936,27.14593124,6,1.420000017,1,2.840000033,27.12291527,27.14593124,26.98109436,200.0864105,192.7993927,18.79862404,23.43982697,52.909935,65.76045227,499.509613,1199.402222,0.151414305,101.1457291,14.88625908,0.727529466,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832516022,0.003956618,300.2959312,300.2729153,191.9043512,0.202568897,3.609951323,35.6905957,12.25076874,27.13442326,3.607514757,0.313420331,2.370838388,1.236676369,0.199045392,16.4484262,0.843472912,68.53281846,190.2782556,0.019102511,
S11,119,2010,D,7,1,679.4999998,0,1.354436632,0.362882072,89.34462004,4.009223453,1.222868656,27.16902542,6,1.420000017,1,2.840000033,27.13614464,27.16902542,26.9816494,99.90287781,97.80502319,18.94675064,23.64849091,53.28786469,66.29624939,499.5271301,1199.190674,0.129981935,101.1471176,13.16588402,0.727905214,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832545217,0.004009223,300.3190254,300.2861446,191.8705035,0.173399812,3.614845347,35.73849094,12.09000004,27.15258503,3.611360773,0.32176804,2.391976691,1.219384082,0.204434584,9.036950792,0.913497253,69.0857625,97.16118889,0.009630624,
S11,119,2010,D,8,1,767.9999998,0,1.256854714,0.367723585,89.89136794,4.011571263,1.209135184,27.2043972,6,1.420000017,1,2.840000033,27.15299225,27.2043972,26.98033142,99.76673126,97.78588104,19.15472031,23.85825348,53.87749481,66.81877136,499.5217896,1198.894287,0.246285483,101.1481094,13.17232323,0.731311738,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832536316,0.004011571,300.3543972,300.3029922,191.8230816,0.1690531,3.622352418,35.8123591,11.95410563,27.17869473,3.616896146,0.325568882,2.413217234,1.203678912,0.206889902,9.092341922,0.919267352,69.53788202,97.18843251,0.008992738,
S11,119,2010,D,9,1,863.4999998,0,-0.849655267,0.383253792,52.70172476,4.109965308,1.194185033,27.22913933,6,1.420000017,1,2.840000033,27.16167831,27.22913933,26.97975159,48.94992828,49.72499847,19.24040604,24.05821991,54.03624344,67.34402466,499.5319824,1198.830078,0.232371092,101.1474075,12.26701546,0.729667604,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832553304,0.004109965,300.3791393,300.3116783,191.8128082,0.115460862,3.627611607,35.86460291,11.806383,27.19540882,3.620443495,0.337683857,2.433426574,1.187016922,0.214722506,5.330642832,1.059863778,70.09900308,50.1288839,-0.011881371,
S11,119,2010,D,10,1,953.4999998,0,-0.802988301,0.391779429,52.80660086,4.156006439,1.184253496,27.26856613,6,1.420000017,1,2.840000033,27.18041039,27.26856613,26.97887993,49.40219498,50.11651611,19.36835098,24.23928642,54.33649445,67.77629089,499.5263672,1198.737427,0.156522542,101.1478806,12.21525383,0.726871431,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832543945,0.004156006,300.4185661,300.3304104,191.797984,0.088442588,3.636005944,35.94742593,11.7081395,27.22448826,3.626622467,0.344285124,2.451752448,1.174870019,0.218994489,5.341275756,1.053676611,70.49016473,50.49821829,-0.011208866,
S11,119,2010,D,11,1,1103.5,0,12.38391742,0.406223311,321.6778559,4.200169263,1.159308089,27.26345634,6,1.420000017,1,2.840000033,27.1885128,27.26345634,26.98230553,399.777832,382.9710388,19.55363274,24.47511482,54.83098984,68.40375519,499.5287476,1198.970947,0.289289862,101.1480026,17.39045525,0.729295671,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832547913,0.004200169,300.4134563,300.3385128,191.8353473,0.06770492,3.634917067,35.93661736,11.46150254,27.22598457,3.626940661,0.355389662,2.475608978,1.151331683,0.226187303,32.53707261,0.839953478,71.22835089,377.0843176,0.023392275,
S11,119,2010,D,12,1,1193,0,12.5697718,0.409147868,320.8074667,4.197300201,1.151108826,27.30916214,6,1.420000017,1,2.840000033,27.2064743,27.30916214,26.97944069,399.5360107,382.5100708,19.73547363,24.65257072,55.34158325,68.82743835,499.5418091,1200.370239,0.139320612,101.147995,17.31504631,0.721553743,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832569682,0.0041973,300.4591621,300.3564743,192.059234,0.068007889,3.644666926,36.03301209,11.38044136,27.25781822,3.633715934,0.357626059,2.4935581,1.140157833,0.227636895,32.44903204,0.838690249,71.52988825,376.5350033,0.02387864,
S11,119,2010,D,13,1,1296,0,16.37764069,0.418894673,497.5682928,4.231666304,1.136814247,27.32205963,6,1.420000017,1,2.840000033,27.21308136,27.32205963,26.97815132,600.4217529,577.8128052,19.86447144,24.82117462,55.68232727,69.2714386,499.5213013,1200.611694,0.210687101,101.1478348,19.0223217,0.726909578,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832535502,0.004231666,300.4720596,300.3630814,192.0978668,0.04969583,3.647422316,36.06031038,11.23913576,27.2675705,3.635793755,0.365050421,2.51060807,1.125185686,0.23245163,50.32795547,0.861123686,71.98587155,570.0276592,0.020682483,
S11,119,2010,D,14,1,1386,0,16.58601363,0.425564173,496.4418455,4.250169845,1.126110131,27.3338604,6,1.420000017,1,2.840000033,27.21897125,27.3338604,26.97944641,599.3374023,576.4736938,19.97435951,24.95173645,55.97208786,69.61222839,499.5547791,1200.372803,0.100215778,101.1486664,19.15128899,0.729818285,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832591298,0.00425017,300.4838604,300.3689713,192.0596441,0.038790257,3.649944997,36.08495423,11.13321778,27.27641582,3.63767924,0.370105191,2.523834866,1.113844374,0.235731783,50.21443061,0.861169991,72.32325143,568.5894973,0.021097021,
