Measurement,Time,AMPM,WP1,WP2,WP3,WP4
2018-07-07,12:00:00,AM,-9.4,-9.6,-10.4,-10
2018-07-07,1:00:00,AM,-9.4,-9.6,-10.4,-10
2018-07-07,2:00:00,AM,-9.4,-9.6,-10.4,-10
2018-07-07,3:00:00,AM,-9.4,-9.6,-10.4,-10
2018-07-07,4:00:00,AM,-9.4,-9.6,-10.4,-10
2018-07-07,5:00:00,AM,-9.4,-9.6,-10.4,-10
2018-07-07,6:00:00,AM,-9.4,-9.6,-10.4,-10
2018-07-07,7:00:00,AM,-9.5,-9.6,-10.4,-10
2018-07-07,8:00:00,AM,-9.4,-9.6,-10.4,-10
2018-07-07,9:00:00,AM,-9.3,-9.5,-10.4,-9.8
2018-07-07,10:00:00,AM,-9.4,-9.7,-10.4,-10
2018-07-07,11:00:00,AM,-9.4,-9.7,-10.4,-10.1
2018-07-07,12:00:00,PM,-9.4,-9.7,-10.4,-10.1
2018-07-07,1:00:00,PM,-9.3,-9.7,-10.3,-10.1
2018-07-07,2:00:00,PM,-9.4,-9.7,-10.4,-10.1
2018-07-07,3:00:00,PM,-9.3,-9.6,-10.4,-10.1
2018-07-07,4:00:00,PM,-9.4,-9.7,-10.4,-9.9
2018-07-07,5:00:00,PM,-9.4,-9.7,-10.4,-10.1
2018-07-07,6:00:00,PM,-9.2,-9.7,-10.3,-10.1
2018-07-07,7:00:00,PM,-9.4,-9.7,-10.4,-10.1
2018-07-07,8:00:00,PM,-9.4,-9.7,-10.4,-10.1
2018-07-07,9:00:00,PM,-9.4,-9.6,-10.4,-10
2018-07-07,10:00:00,PM,-9.3,-9.6,-10.3,-10
2018-07-07,11:00:00,PM,-9.3,-9.6,-10.3,-10
2018-07-08,12:00:00,AM,-9.3,-9.5,-10.3,-10
2018-07-08,1:00:00,AM,-9.3,-9.5,-10.3,-10
2018-07-08,2:00:00,AM,-9.3,-9.5,-10.3,-10
2018-07-08,3:00:00,AM,-9.3,-9.5,-10.3,-9.9
2018-07-08,4:00:00,AM,-9.3,-9.5,-10.3,-9.9
2018-07-08,5:00:00,AM,-9.3,-9.5,-10.3,-9.9
2018-07-08,6:00:00,AM,-9.3,-9.5,-10.3,-9.9
2018-07-08,7:00:00,AM,-9.3,-9.5,-10.3,-9.9
2018-07-08,8:00:00,AM,-9.3,-9.5,-10.3,-10
2018-07-08,9:00:00,AM,-9.2,-9.4,-10.2,-9.9
2018-07-08,10:00:00,AM,-9.3,-9.6,-10.3,-9.9
2018-07-08,11:00:00,AM,-9.3,-9.6,-10.3,-10.1
2018-07-08,12:00:00,PM,-9.3,-9.7,-10.3,-10.1
2018-07-08,1:00:00,PM,-9.2,-9.7,-10.3,-10
2018-07-08,2:00:00,PM,-9.3,-9.7,-10.4,-10
2018-07-08,3:00:00,PM,-9.2,-9.5,-10.3,-10
2018-07-08,4:00:00,PM,-9.3,-9.6,-10.3,-9.9
2018-07-08,5:00:00,PM,-9.3,-9.6,-10.3,-10
2018-07-08,6:00:00,PM,-9.2,-9.6,-10.3,-10
2018-07-08,7:00:00,PM,-9.3,-9.6,-10.3,-10
2018-07-08,8:00:00,PM,-9.3,-9.6,-10.3,-10
2018-07-08,9:00:00,PM,-9.3,-9.6,-10.3,-10
2018-07-08,10:00:00,PM,-9.3,-9.5,-10.3,-9.9
2018-07-08,11:00:00,PM,-9.3,-9.5,-10.2,-9.9
2018-07-09,12:00:00,AM,-9.3,-9.5,-10.2,-9.9
2018-07-09,1:00:00,AM,-9.3,-9.5,-10.2,-9.9
2018-07-09,2:00:00,AM,-9.3,-9.5,-10.2,-9.9
2018-07-09,3:00:00,AM,-9.3,-9.5,-10.2,-9.9
2018-07-09,4:00:00,AM,-9.3,-9.5,-10.2,-9.9
2018-07-09,5:00:00,AM,-9.3,-9.4,-10.2,-9.9
2018-07-09,6:00:00,AM,-9.3,-9.4,-10.2,-9.9
2018-07-09,7:00:00,AM,-9.3,-9.4,-10.2,-9.9
2018-07-09,8:00:00,AM,-9.3,-9.5,-10.2,-9.9
2018-07-09,9:00:00,AM,-9.3,-9.4,-10.2,-9.9
2018-07-09,10:00:00,AM,-9.2,-9.4,-10.2,-9.8
2018-07-09,11:00:00,AM,-9.3,-9.6,-10.3,-10
2018-07-09,12:00:00,PM,-9.3,-9.6,-10.3,-10
2018-07-09,1:00:00,PM,-9.1,-9.6,-10.2,-9.9
2018-07-09,2:00:00,PM,-9.3,-9.6,-10.3,-9.9
2018-07-09,3:00:00,PM,-9.2,-9.4,-10.3,-9.9
2018-07-09,4:00:00,PM,-9.2,-9.5,-10.2,-9.8
2018-07-09,5:00:00,PM,-9.3,-9.5,-10.2,-9.9
2018-07-09,6:00:00,PM,-9.1,-9.5,-10.2,-9.9
2018-07-09,7:00:00,PM,-9.3,-9.5,-10.2,-9.9
2018-07-09,8:00:00,PM,-9.3,-9.5,-10.2,-9.9
2018-07-09,9:00:00,PM,-9.3,-9.5,-10.2,-9.9
2018-07-09,10:00:00,PM,-9.3,-9.5,-10.2,-9.9
2018-07-09,11:00:00,PM,-9.3,-9.5,-10.2,-9.9
2018-07-10,12:00:00,AM,-9.2,-9.4,-10.2,-9.9
2018-07-10,1:00:00,AM,-9.2,-9.4,-10.2,-9.9
2018-07-10,2:00:00,AM,-9.2,-9.4,-10.2,-9.9
2018-07-10,3:00:00,AM,-9.2,-9.4,-10.2,-9.9
2018-07-10,4:00:00,AM,-9.2,-9.4,-10.2,-9.8
2018-07-10,5:00:00,AM,-9.2,-9.4,-10.1,-9.8
2018-07-10,6:00:00,AM,-9.2,-9.4,-10.1,-9.8
2018-07-10,7:00:00,AM,-9.2,-9.4,-10.1,-9.8
2018-07-10,8:00:00,AM,-9.2,-9.4,-10.1,-9.8
2018-07-10,9:00:00,AM,-9.1,-9.3,-10.2,-9.8
2018-07-10,10:00:00,AM,-9.2,-9.4,-10.1,-9.8
2018-07-10,11:00:00,AM,-9.2,-9.4,-10.2,-9.9
2018-07-10,12:00:00,PM,-9.2,-9.5,-10.2,-9.9
2018-07-10,1:00:00,PM,-9.1,-9.5,-10.1,-9.9
2018-07-10,2:00:00,PM,-9.2,-9.5,-10.2,-9.9
2018-07-10,3:00:00,PM,-9.1,-9.4,-10.2,-9.9
2018-07-10,4:00:00,PM,-9.2,-9.5,-10.2,-9.8
2018-07-10,5:00:00,PM,-9.2,-9.5,-10.2,-9.9
2018-07-10,6:00:00,PM,-9.1,-9.5,-10.1,-9.9
2018-07-10,7:00:00,PM,-9.2,-9.5,-10.2,-9.9
2018-07-10,8:00:00,PM,-9.2,-9.5,-10.2,-9.8
2018-07-10,9:00:00,PM,-9.2,-9.4,-10.1,-9.8
2018-07-10,10:00:00,PM,-9.2,-9.4,-10.1,-9.8
2018-07-10,11:00:00,PM,-9.2,-9.4,-10.1,-9.8
2018-07-11,12:00:00,AM,-9.1,-9.4,-10.1,-9.8
2018-07-11,1:00:00,AM,-9.1,-9.3,-10.1,-9.8
2018-07-11,2:00:00,AM,-9.1,-9.3,-10.1,-9.8
2018-07-11,3:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-11,4:00:00,AM,-9.2,-9.3,-10.1,-9.7
2018-07-11,5:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-11,6:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-11,7:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-11,8:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-11,9:00:00,AM,-9.1,-9.3,-10.1,-9.8
2018-07-11,10:00:00,AM,-9,-9.2,-10.1,-9.7
2018-07-11,11:00:00,AM,-9.2,-9.4,-10.1,-9.9
2018-07-11,12:00:00,PM,-9.2,-9.4,-10.2,-9.9
2018-07-11,1:00:00,PM,-9,-9.5,-10.1,-9.9
2018-07-11,2:00:00,PM,-9.2,-9.5,-10.2,-9.9
2018-07-11,3:00:00,PM,-9.1,-9.3,-10.2,-9.8
2018-07-11,4:00:00,PM,-9.1,-9.4,-10.1,-9.8
2018-07-11,5:00:00,PM,-9.2,-9.4,-10.1,-9.9
2018-07-11,6:00:00,PM,-9,-9.4,-10.1,-9.9
2018-07-11,7:00:00,PM,-9.1,-9.4,-10.1,-9.8
2018-07-11,8:00:00,PM,-9.1,-9.4,-10.1,-9.8
2018-07-11,9:00:00,PM,-9.1,-9.4,-10.1,-9.8
2018-07-11,10:00:00,PM,-9.1,-9.4,-10.1,-9.8
2018-07-11,11:00:00,PM,-9.1,-9.4,-10.1,-9.8
2018-07-12,12:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-12,1:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-12,2:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-12,3:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-12,4:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-12,5:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-12,6:00:00,AM,-9.1,-9.3,-10.1,-9.7
2018-07-12,7:00:00,AM,-9.1,-9.3,-10,-9.7
2018-07-12,8:00:00,AM,-9.1,-9.3,-10,-9.7
2018-07-12,9:00:00,AM,-9,-9.3,-10.1,-9.7
2018-07-12,10:00:00,AM,-9,-9.3,-10.1,-9.6
2018-07-12,11:00:00,AM,-9.1,-9.4,-10.1,-9.8
2018-07-12,12:00:00,PM,-9.1,-9.4,-10.1,-9.8
2018-07-12,1:00:00,PM,-8.9,-9.4,-10.1,-9.8
2018-07-12,2:00:00,PM,-9.1,-9.4,-10.1,-9.8
2018-07-12,3:00:00,PM,-9,-9.3,-10.1,-9.7
2018-07-12,4:00:00,PM,-9,-9.4,-10.1,-9.7
2018-07-12,5:00:00,PM,-9.1,-9.4,-10.1,-9.8
2018-07-12,6:00:00,PM,-8.9,-9.4,-10,-9.8
2018-07-12,7:00:00,PM,-9,-9.4,-10.1,-9.7
2018-07-12,8:00:00,PM,-9,-9.4,-10.1,-9.7
2018-07-12,9:00:00,PM,-9,-9.4,-10.1,-9.7
2018-07-12,10:00:00,PM,-9,-9.3,-10.1,-9.7
2018-07-12,11:00:00,PM,-9,-9.3,-10.1,-9.7
2018-07-13,12:00:00,AM,-9,-9.3,-10,-9.7
2018-07-13,1:00:00,AM,-9,-9.3,-10,-9.6
2018-07-13,2:00:00,AM,-9,-9.3,-10,-9.6
2018-07-13,3:00:00,AM,-9,-9.3,-10,-9.6
2018-07-13,4:00:00,AM,-9,-9.3,-10,-9.6
2018-07-13,5:00:00,AM,-9,-9.3,-10,-9.6
2018-07-13,6:00:00,AM,-9,-9.3,-10,-9.6
2018-07-13,7:00:00,AM,-8.9,-9.3,-10,-9.6
2018-07-13,8:00:00,AM,-9,-9.3,-10,-9.7
2018-07-13,9:00:00,AM,-9,-9.3,-10,-9.6
2018-07-13,10:00:00,AM,-8.9,-9.2,-10,-9.6
2018-07-13,11:00:00,AM,-9,-9.3,-10,-9.8
2018-07-13,12:00:00,PM,-9,-9.4,-10.1,-9.8
2018-07-13,1:00:00,PM,-8.8,-9.4,-10,-9.8
2018-07-13,2:00:00,PM,-9,-9.4,-10.1,-9.8
2018-07-13,3:00:00,PM,-8.9,-9.3,-10.1,-9.7
2018-07-13,4:00:00,PM,-8.9,-9.4,-10,-9.6
2018-07-13,5:00:00,PM,-9,-9.4,-10,-9.7
2018-07-13,6:00:00,PM,-8.8,-9.4,-10,-9.7
2018-07-13,7:00:00,PM,-9,-9.4,-10,-9.7
2018-07-13,8:00:00,PM,-9,-9.4,-10,-9.7
