ID_Year1,ID,Year,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
S07_2014,S07,2014,West Fork Mojave River,34.28425,-117.37539,1092,16.2,24.6,9.8,14.8,422,38,61.9,649.8,17,4104,1366,675,348,42,351,309,1,-12.8,41.8,1316,1122,-9999,60
S08_2014,S08,2014,Redwood Creek,36.69096,-118.90961,1682,11.9,21.4,5.6,15.8,682,40,32.1,535.1,68,2676,2515,287,275,116,309,193,14,-23.2,38.3,1079,754,-9999,60
S10_2014,S10,2014,North Fork Middle Fork Tule,36.20081,-118.65092,1288,14.7,24.2,7.9,16.2,586,29,42.2,846.1,32,3591,1793,575,332,64,336,272,3,-16,40.6,1167,895,-9999,63
S11_2014,S11,2014,Mill Creek,34.07808,-116.87558,1990,10.3,19.3,3.8,15.5,539,63,37.7,305.9,100,2211,2941,146,237,149,297,148,17,-26.8,36.6,1131,884,-9999,55
S15_2014,S15,2014,Rock Creek,43.37876,-122.95207,1168,11.7,20.8,4.4,16.4,2743,377,7.9,55.2,74,2629,2573,297,306,100,330,229,66,-16.4,38.2,900,334,-9999,67
S16_2014,S16,2014,O'Neil Creek,41.80979,-123.11887,1092,12.8,23.5,4.4,19.1,1046,109,21.8,215.7,67,3005,2357,480,299,108,325,217,19,-17.9,40.2,1044,672,-9999,62
S17_2014,S17,2014,Deep Creek,41.66546,-123.11341,680,14.1,25.7,4.1,21.6,164,52,147.2,496,63,3460,2111,716,300,102,322,220,2,-19.3,42.8,1194,1060,-9999,57
S18_2014,S18,2014,Little Jameson Creek,39.74298,-120.70401,1593,10.5,20.5,3.3,17.3,1182,108,17.3,191,112,2298,2947,202,241,142,293,151,59,-26.3,38.5,1047,647,-9999,55
S29_2014,S29,2014,Oregon Creek,39.39442,-121.08302,440,17.4,27.2,9.9,17.3,1280,65,21.4,417.8,15,4539,1223,963,347,41,345,304,2,-13.8,44.5,1349,878,-9999,56
S32_2014,S32,2014,Wawona,37.539,-119.654,1214,14.3,23.8,8.1,15.7,853,27,28.5,885.6,32,3468,1857,515,305,99,318,219,5,-20.1,41.2,1251,863,-9999,55
S36_2014,S36,2014,Deer Creek,42.27411,-123.63617,393,13.5,23.2,4.9,18.4,1671,150,14.1,154.6,53,3233,2100,499,302,100,311,211,20,-17.4,42.8,1200,730,-9999,54
S02_2015,S02,2015,Sweetwater River,32.89928,-116.5849,1168,15.3,24,7.6,16.3,386,113,65.6,212,23,3809,1614,614,328,86,341,256,2,-14.1,43,1387,1005,-9999,55
S07_2015,S07,2015,West Fork Mojave River,34.28425,-117.37539,1092,15.8,24.1,7.7,16.4,372,108,69.4,223.3,22,3970,1513,670,339,63,349,287,1,-12.8,41.8,1302,949,-9999,60
S08_2015,S08,2015,Redwood Creek,36.69096,-118.90961,1682,11.3,20.3,2.6,17.7,705,86,30.2,236.2,91,2544,2704,273,258,130,307,177,15,-23.2,38.3,1065,667,-9999,59
S10_2015,S10,2015,North Fork Middle Fork Tule,36.20081,-118.65092,1288,14.1,23.2,5.1,18.1,591,76,40.8,304.7,44,3424,1989,559,318,87,332,244,4,-16,40.6,1153,761,-9999,63
S11_2015,S11,2015,Mill Creek,34.07808,-116.87558,1990,10,18.7,1.8,16.8,543,179,36.8,104.1,120,2143,3074,147,224,166,299,132,26,-26.8,36.6,1120,637,-9999,55
S15_2015,S15,2015,Rock Creek,43.37876,-122.95207,1168,11.9,21,5.7,15.3,2442,148,9,142.5,62,2684,2487,300,305,107,323,216,30,-16.4,38.2,933,492,-9999,65
S16_2015,S16,2015,O'Neil Creek,41.80979,-123.11887,1092,12.9,23.4,4.9,18.4,860,37,26.6,626.9,64,3033,2338,494,294,115,319,205,10,-17.9,40.2,1062,776,-9999,61
S17_2015,S17,2015,Deep Creek,41.66546,-123.11341,680,14.2,25.6,4.5,21.1,129,24,187.6,1048.1,61,3495,2106,733,294,110,316,207,1,-19.3,42.8,1211,1110,-9999,56
S18_2015,S18,2015,Little Jameson Creek,39.74298,-120.70401,1593,10.3,19.6,1.4,18.3,1015,91,20,215.7,135,2304,3012,211,228,148,289,141,38,-26.3,38.5,1074,674,-9999,54
S29_2015,S29,2015,Oregon Creek,39.39442,-121.08302,440,17.2,26.4,8.1,18.3,939,52,28.9,504.6,19,4471,1326,993,337,61,340,279,2,-13.8,44.5,1349,928,-9999,55
S32_2015,S32,2015,Wawona,37.539,-119.654,1214,13.8,22.7,5.5,17.2,755,67,31.5,340.4,44,3290,2052,492,286,118,314,196,4,-20.1,41.2,1236,859,-9999,54
S36_2015,S36,2015,Deer Creek,42.27411,-123.63617,393,13.7,23.5,5.6,17.9,1428,47,16.6,498.4,49,3292,2065,523,299,108,301,193,12,-17.4,42.8,1225,871,-9999,53
S02_2016,S02,2016,Sweetwater River,32.89928,-116.5849,1168,15,22.9,7.9,15,558,58,44.8,392,25,3681,1641,513,328,80,332,252,3,-14.1,43,1374,1079,-9999,55
S07_2016,S07,2016,West Fork Mojave River,34.28425,-117.37539,1092,15.4,23.7,8.3,15.5,515,41,49.4,577.4,23,3841,1545,576,341,55,344,288,2,-12.8,41.8,1288,1012,-9999,60
S08_2016,S08,2016,Redwood Creek,36.69096,-118.90961,1682,11,20.2,3.6,16.6,1017,45,20.7,444.8,90,2430,2765,231,264,119,297,178,49,-23.2,38.3,1051,651,-9999,60
S10_2016,S10,2016,North Fork Middle Fork Tule,36.20081,-118.65092,1288,13.9,23.3,6,17.3,848,38,28.2,605.4,44,3327,2018,494,322,75,326,251,13,-16,40.6,1139,778,-9999,63
S11_2016,S11,2016,Mill Creek,34.07808,-116.87558,1990,9.7,18.6,2.1,16.5,658,63,29.9,295.6,124,2038,3154,117,224,159,284,125,37,-26.8,36.6,1107,785,-9999,55
S15_2016,S15,2016,Rock Creek,43.37876,-122.95207,1168,11.6,20.1,3,17.1,3014,187,7.2,107.7,74,2580,2549,227,312,92,327,235,69,-16.4,38.2,889,435,-9999,68
S16_2016,S16,2016,O'Neil Creek,41.80979,-123.11887,1092,12.5,22.2,2.9,19.3,1213,48,18.5,468,76,2904,2409,400,301,101,320,219,32,-17.9,40.2,1025,711,-9999,63
S17_2016,S17,2016,Deep Creek,41.66546,-123.11341,680,13.7,24.2,2.6,21.5,200,37,118.4,661.4,74,3370,2163,628,300,97,317,220,5,-19.3,42.8,1174,1011,-9999,58
S18_2016,S18,2016,Little Jameson Creek,39.74298,-120.70401,1593,9.9,19.2,1.1,18.1,1589,79,12.5,242,143,2164,3123,164,236,139,283,143,136,-26.3,38.5,1045,633,-9999,56
S29_2016,S29,2016,Oregon Creek,39.39442,-121.08302,440,16.7,25.9,8,18,1653,51,16.2,506.7,21,4315,1361,869,341,48,339,290,8,-13.8,44.5,1318,823,-9999,56
S32_2016,S32,2016,Wawona,37.539,-119.654,1214,13.5,22.4,6.2,16.2,1209,42,19.4,532.1,44,3177,2087,424,294,105,306,202,20,-20.1,41.2,1218,764,-9999,55
S36_2016,S36,2016,Deer Creek,42.27411,-123.63617,393,13.3,22,3.2,18.8,1924,59,12.1,376.1,61,3174,2122,425,305,94,303,210,36,-17.4,42.8,1187,798,-9999,55
